processed_paragraphs,summarized_paragraphs
" Failure Modes and Effects Analysis  or Fault Tree Analysis is the analysis of a model structured to  identify the various elements that can cause system failure by themselves, or in combination with others,  79 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management based on the logic of the system. Fault tree analysis is typically used in engineering contexts. It can be adapted  for use to identify risks by analyzing how risk impacts might arise. Another result is the probability of failure   of the overall system, indicating the level of quality of the  system or product. If the level of reliability is not acceptable, the Fault Tree can indicate where the system can  be made more reliabletherefore, it is useful in the design and engineering phase of the project. An example  is shown below.     Figure D4. Fault Tree Analysis of the Possible Causes of a Crash at the Main Road Junction    ",failure modes and effects analysis or Fault Tree Analysis is the analysis of a model structured to identify the various elements that can cause system failure by themselves. it can be adapted for use to identify risks by analyzing how risk impacts might arise. another result is the probability of failure of the overall system.
 Force Field Analysis is typically used in the change management context. It can be adapted for risk  identi cation by identifying driving forces  and restraining forces   which currently affect achievement of a project objective. Risks can then be identi ed as uncertain events or  conditions which would lead to a change in the strength of one or more of the identi ed forces. An example  force  eld diagram is shown below.  80 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management    Figure D5. Example of a Force Field Analysis and the Balance of Forces For and Against Change ,Force Field Analysis can be adapted for risk identi cation by identifying driving forces and restraining forces which currently affect achievement of a project objective. risks can then be identi ed as uncertain events or conditions which would lead to a change in the strength of one or more of the identi ed forces.
" An industry knowledge base is a special case of a checklist , and is used similarly. No templates  or examples are presented. ",an industry knowledge base is a special case of a checklist. no templates or examples are presented. no templates or examples are presented.
" An in uence diagram is a diagrammatic representation of a project situation, showing the main entities,  decision points, uncertainties, and outcomes, and indicating the relationships  between them. The  in uence diagram can identify risks when combined with sensitivity analysis or Monte Carlo simulation to  reveal sources of risk within the project. An example is shown below.  81 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management    Figure D6. Example of an Influence Diagram in a Bidding Situation ",an in uence diagram can identify risks when combined with sensitivity analysis or Monte Carlo simulation to reveal sources of risk within the project. an example is shown below.
" Risk identi cation interviews should include all main stakeholders and be conducted by an independent  skilled interviewer using a structured agenda, in an atmosphere of con dentiality, honesty, and mutual trust. A  risk breakdown structure, checklist or prompt list can be used as a framework for risk interviews. No templates  or examples are presented. ","risk identi cation interviews should include all main stakeholders. a risk breakdown structure, checklist or prompt list can be used as a framework."
" The Nominal Group Technique is an adaptation of brainstorming where participants share and discuss all  issues before evaluation, with each participant participating equally in evaluation. No templates or examples  are presented. ",the Nominal Group Technique is an adaptation of brainstorming. participants share and discuss all issues before evaluation. no templates or examples are presented.
" Information relevant to risks for a current project can be obtained by reviewing databases of risks which  occurred in previous similar situations. Such databases might arise from postproject reviews or lessons  learned exercises. They may also exist as repositories of historical information, either within an organization or  industry body. No templates or examples are presented.  82 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management","databases of risks may arise from postproject reviews or lessons learned exercises. they may also exist as repositories of historical information, either within an organization or industry body."
" A prompt list is a set of risk categories which can be used to stimulate risk identi cation. The prompt list  may be presented as a risk breakdown structure , or as a set of headings. A number of standard  prompt lists have been developed for use in risk identi cation, and some of these are presented below. These  can then be used as a framework for other risk identi cation techniques such as brainstorming   or risk interviews .   1. The PESTLE prompt list:   Political     Economic     Social     Technological     Legal     Environmental     2. The TECOP prompt list:   Technical     Environmental     Commercial     Operational     Political     3. The SPECTRUM prompt list:   Sociocultural     Political     Economic     Competitive     Technology     Regulatorylegal     Uncertaintyrisk     Market   ",prompt list is a set of risk categories which can be used to stimulate risk identi cation. a number of standard prompt lists have been developed for use in risk identi cation. some of these can be used as a framework for other techniques such as brainstorming or risk interviews.
" A risk identi cation questionnaire can be presented as a special form of checklist , where  possible risks are shown in question format  rather  83 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management than as risk statements . Alternatively a risk  identi cation questionnaire can be used to present the headings from a prompt list , asking  questions such as Are there any uncertainties arising from the use of technology on this project? No templates  or examples are presented. ",risk identi cation questionnaire can be presented as a special form of checklist. a risk identi cation questionnaire can be presented as a special form of checklist.
" The risk breakdown structure  is a hierarchical framework of potential sources of risk to a project. An  organization may develop a generic RBS for use across all its projects, or a project may use a projectspeci c  RBS. A partial example RBS is shown below.     Figure D7. Example of a Generic Risk Breakdown Structure  84 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management",risk breakdown structure is hierarchical framework of potential sources of risk to a project. an organization may develop a generic RBS for use across all its projects. a project may use a projectspeci c RBS.
" A root cause analysis seeks to identify basic causes of risks that may be visible symptoms of more  fundamental forces. It may also identify common sources of several risks, leading to broadreaching risk  response strategies. Similarly, care needs to be taken when using this technique for risk identi cation to  distinguish between risks  and issues . In the  diagram shown below the risks that were initially identi ed included rework, extra cost, schedule slips, low  team morale, customer mistrust and repeated audits. An examination of the identi ed risks lead to a common  root cause, that later phases of the project were typically started before the earlier ones were suf ciently  mature. This organization repeatedly ignored the proper phase entry prerequisites, hastening later project  stages in order to speed up the project.     Figure D8. Example of a Root Cause Analysis ","root cause analysis seeks to identify basic causes of risks that may be visible symptoms of more fundamental forces. it may also identify common sources of several risks, leading to broadreaching risk response strategies."
" SWOT Analysis identi es four characteristics of a given situation: strengths, weaknesses, opportunities and  threats. The technique is commonly used in strategic decision making. It can be adapted for risk identi cation  by changing the interpretation of the four perspectives, such that strengths and weaknesses relate to the  characteristics of the organization conducting the project, and opportunities and threats identify the project  risks. The technique is particularly useful for identifying internallygenerated risks arising from within the  organization. For example opportunities might be found by leveraging organizational strengths, or threats  might arise as a result of organizational weaknesses, as illustrated below.  85 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management   Figure D9. Example of a SWOT Analysis Structure ","SWOT Analysis identi es four characteristics of a given situation: strengths, weaknesses, opportunities and threats. the technique is commonly used in strategic decision making. it can be adapted for risk identi cation by changing the interpretation of the four perspectives."
" System dynamics  is a particular application of in uence diagrams , and can be used  to identify risks within a project situation. The SD model represents entities and information  ows within a  project, and analysis of the model can reveal feedback and feedforward loops which lead to uncertainty  or instability. In addition, the results of an SD analysis can show the impact of risk events on overall project  results, such as the cost or schedule results to be expected. Analyses of changes in the model or assumptions  can indicate the systems sensitivity to speci c events, some of which may be risks. A simple example of an  SD diagram is shown in Figure D11.   Figure D10. Example of a Simple System Dynamics Model with Feedback Loops  86 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management",the SD model represents entities and information ows within a project. analysis of the model can reveal feedback and feedforward loops. the results of an SD analysis can show the impact of risk events on overall project results.
" The work breakdown structure  for a project can form a framework for a number of other risk identi cation  techniques, such as brainstorming, risk interviews, checklists or prompt lists. No templates or examples are presented. ",the work breakdown structure for a project can form a framework for a number of other risk identi cation techniques. no templates or examples are presented.
"Analysis    Perform Qualitative Risk Analysis prioritizes for further analysis or handling the undifferentiated list of risks  that have been identi ed in the Identify Risks process. Organizations tend to apply resources to those designated  as high risk, based on their priority, often indicated by the risks probability and impact characteristics. ",analysis Perform Qualitative Risk Analysis prioritizes for further analysis or handling the undifferentiated list of risks that have been identi ed in the Identify Risks process.
" Example of approaches are given in Table D3 and D.3.1.1 through D.3.1.3.   Table D3. Techniques for Perform Qualitative Risk Analysis   Technique   Strengths   Weaknesses   CSFs For Effective  Application   Root Cause Analysis  See Chapter 5   Estimating techniques     Addresses both    key dimensions of  a risk, namely its  degree of uncertainty   and its  effect on project  objectives    Dif cult to calibrate if    there is no historical  database of similar  events   Terms for probability     and  for impact   are ambiguous and  subjective   Impacts can    be uncertain or  represented by a  range of values that  cannot be put into a  speci c impact level  such as moderate  impact on time   Agreed de nitions    of probability and  impacts which  re ect stakeholders  risk tolerances and  thresholds   Values used in    the de nitions  represent the same  level of impact  across objectives  as perceived by  the organizations  management or  project stakeholders  Consistent use of    these de nitions  across all identi ed  risks 87 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application   Access to SMEs who    have experience with  the type of risk   Postproject reviews Lessons Learned Historical Information   see Chapter 5   Probability and Impact  Matrix    Allows the organization    to prioritize the  project risks for  further analysis  or risk  response   Re ects the    organizations level of  risk tolerance   Does not explicitly    handle other factors  such as urgency or  manageability that  may partly determine  a risks ranking.   The range of    uncertainty in the  assessment of a  risks probability or  impact may overlap a  boundary   P   I matrix requires  that the input  data are clear and  unambiguous in  assigning levels of  probability and impact   Effective estimation of    impact and likelihood  as outlined previously   Organizations should    be careful to assess  the combinations of  probability and impact  that qualify a risk  as low, moderate or  high risk so that the  method used re ects  the organizations risk  attitude   De nitions used to    designate the levels  of impact   for each objective  should represent  the same level of  impact as perceived  by the organizations  management or  project stakeholders  as re ecting the  organizations utility  function    Table D3. Techniques for Perform Qualitative Risk Analysis  88 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application   Analytic Hierarchy  Process   Assists in developing    a relative weighting  for project objectives  that re ects the  organizations  priorities for time,  cost, scope and  quality for the project   Assists the creation    of an overall project  priority list of risks  created from the  risks priority with  respect to individual  objectives   Organizational    decisions are often  made by committees,  and individuals may  not agree on relative  priority among  objectives   Dif cult to gather the    information about  pairwise comparison  of the objectives  from highlevel  management   Expert facilitator in    the process   Agreement by    management that it  is useful to develop  a consistent set of  priorities among  objectives   Use of proper method    or available AHP  software   RootCause Analysis   see Chapter 5 ","practice standard for Project Risk Management Technique Strengths Weaknesses CSFs for Effective Application Root Cause Analysis See Chapter 5 Estimating techniques Addresses both key dimensions of a risk, namely its degree of uncertainty and its effect on project objectives."
" The probability of a risk occurring can be speci ed in several different ways. One common way is to assign  levels of risk probability by ranges of probability. One bene t of this approach is that the subject matter experts  only need to assess a risks probability within a range rather than as a speci c value. An example, assuming  that a 55 Probability and Impact Matrix is desired, is shown in Figure D11 where the probability ranges are  more tightly de ned at low levels of probability.   Examples of impact level de nitions are very projectspeci c. The values used to specify the level of impact  from very low to very high  should be:    Higher impact, for threats or opportunities, as they move from very low to very high for a speci c    objective    Levels are de ned by the organization as causing the same amount of pain or gain to the project for    each level across objectives    If a risks possible impact is uncertain and could be assigned to more than one level of impact  the analyst may choose to assign the risk to the impact level that represents  the expected or average impact. Alternatively, the risk may be  agged for extra analysis in order to  reduce the range of uncertainty to  t within a single range.   An example of impact level de nitions is shown in Figure D11. These de nitions should be tailored or scaled  by stakeholders to the speci c project. The de nitions, appropriately tailored to the project, can be used for  opportunities and threats.  Table D3. Techniques for Perform Qualitative Risk Analysis  89 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management     Figure D11. Example of Definitions for Levels of Probability and Impact on Four Specific Objectives  Used to Evaluate Individual Risks.   NoteOpportunities are to be treated as representing a positive saving in time or cost, or increased  functionality. For threats, each impact scale is interpreted negatively, i.e. time delays, increased cost, or  reduced functionality. ",the probability ranges are more tightly de ned at low levels of probability. an example of impact level de nitions is shown in Figure D11. these de nitions should be tailored or scaled by stakeholders.
"Probability and Impact Matrix   Organizations typically assess a risks priority on an objective from the combination of probability of  occurrence and impact on that project objective, using de nitions such as those shown in Figure D11. Risks  are then placed on a probability and impact  matrix, such as one shown below. This matrix includes both  threats and opportunities.   Figure D12. Example of ProbabilityImpact Matrix Used to Sort Risks  into  High Risk , Moderate Risk  and Low Risk  Classes  90 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management","Probability and Impact Matrix Organizations typically assess a risks priority on an objective from the combination of probability of occurrence and impact on that project objective. risk is then placed on a probability and impact matrix, such as one shown below. this matrix includes both threats and opportunities."
 AHP is a method to calibrate preferences for achieving the different objectives of a project. Do they prefer  to achieve time more than cost? Is quality more important than scope? What is the relative weighting of the  projects objectives in terms of their priority to the stakeholders or to management? The results are weights   that re ect the relative priority of each objective. This prioritization can be important in  determining how tradeoffs affecting different objectives   will be decided. It can also be used to create an overall project risk priority list from risks that have been  assessed on their implications for individual objectives. Specialized software implementing AHP is available. A  spreadsheet implementation is shown below.   Figure D13. Example of Analytic Hierarchy Process Computations to Determine the Relative Weighting  of Four Project Objectives  91 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management,the results are weights that re ect the relative priority of each objective. this prioritization can be important in determining how tradeoffs affecting different objectives will be decided. it can also be used to create an overall project risk priority list from risks that have been assessed on their implications for individual objectives.
Analysis    Perform Quantitative Risk Analysis seeks to determine the overall risk to project objectives when all risks  potentially operate simultaneously on the project. It provides answers to several questions:    How likely is the project to complete on the schedule date or earlier? How likely is the project actual cost    to be the budgeted cost or less? How reliable will the product be that the project produces? What is the  best decision to make in the face of uncertain results?    How much contingency in time and cost is needed to provide the organization with its desired degree of    con dence in the results? How should the design of the product or system be changed most economically  to increase its reliability?   What are the individual risks that seem to be the most important in determining the overall project risk?   ,analysis perform Quantitative Risk Analysis seeks to determine the overall risk to project objectives when all risks potentially operate simultaneously on the project. how likely is the project actual cost to be the budgeted cost or less? how much contingency in time and cost is needed to provide the organization with its desired degree of con dence in the results?
" Examples of techniques for Perform Quantitative Risk Analysis are found shown in Table D4 and details are  given in D.4.1.1 through D.4.1.5   Technique   Strengths   Weaknesses   CSFs For effective  application   Decision Tree Analysis   Causes the    organization to  structure the costs  and bene ts of  decisions when  the results are  determined in part by  uncertainty and risk   Solution of the    decision tree helps  select the decision  that provides the  highest Expected  Monetary Value or  expected utility to the  organization   It is sometimes    dif cult to create the  decision structure   Probabilities of    occurrences can be  dif cult to quantify  in the absence of  historical data  The best decision may    change with relatively  plausible changes in  the input data, meaning  that the answer may  not be stable The organization may    not make decisions  based on a linear  Expected Monetary  Value basis but rather  on a nonlinear utility  function; utility functions  are dif cult to specify  Careful structuring of    the decision tree. All  alternative decisions  that are materially  different should be  considered; decision  trees should be  speci ed completely   Access to highquality    data about probability,  cost and reward for  the decisions and  events speci ed using  historical information  or judgment of  experts  Use of a utility    function that has  been validated with  the organizations  decision makers  92 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application  The organization may    not make decisions  based on a linear  Expected Monetary  Value basis but rather  on a nonlinear  utility function. Utility  functions are dif cult  to specify Decision tree analysis    of complicated  situations requires  specialized  software There may be some    resistance to using  technical approaches  to decisionmaking Availability and    understanding of the  specialized software  needed to structure  and solve the  decision tree Expected Monetary Value   EMV allows the user    to calculate the  weighted average   value of an  event that includes  uncertain outcomes It is wellsuited to    Decision Tree Analysis EMV incorporates    both the probability  and impact of the  uncertain events EMV is a simple    calculation that  does not require  specialized software Assessment of    probability of risky  events occurring and  of their impact can be  dif cult to make EMV provides only    the expected value  of uncertain events;  risk decisions  often require more  information than EMV  can provide EMV is sometimes    used in situations  where Monte Carlo  simulation would be  more appropriate and  provide additional  information about risk Identi cation of all    possible events that  need to be included in  the EMV calculation Access to historical    data or expert  opinions on the  values of probability  and impact that  are needed for the  calculation of EMV Understanding of the    difference between  EMV and the output  of simulation tools  such as Monte Carlo  analysis FMEAFault Tree Analysis  see Chapter 5 93 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs For Effective  Application   Monte Carlo Simulation  Used primarily for    project schedule and  cost risk analysis in  strategic decisions Allows all speci ed    risks to vary  simultaneously Calculates    quantitative estimates  of overall project risk;  re ects the reality  that several risks may  occur together on the  project Provides answers    to questions such  as  How likely is  the base plan to be  successful?  How  much contingency  in time and cost do  we need to achieve  our desired level of  con dence?   Which activities  are important in  determining the  overall project risk? Schedules are    not simple and  often cannot be  used in simulation  without significant  debugging by an  expert scheduler The quality of the    input data depends  heavily on the expert  judgment and the  effort and expertise of  the risk analyst Simulation is    sometimes resisted  by management as  being unnecessary  or too sophisticated  compared to  traditional project  management tools Monte Carlo    simulation requires  specialized software  which must be  acquired and learned,  causing a barrier to  its use Will produce    unrealistic results  unless input data  include both threats  and opportunities Creation of a good    project model. Typical  models include the  cost estimate and the  schedule Use summarylevel    models such as  project schedules and  cost estimates Access to high   quality data on risks  including the risks  impact on project  elements, uncertain  activity durations  and uncertain  cost elements; the  credibility depends on  the quality of the data  collected Use of correct    simulation tools Postproject reviews Lessons Learned Historical Information  see Chapter 5 System Dynamics  see Chapter 5 94 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management","the organization may not make decisions based on a linear Expected Monetary Value basis but rather on a nonlinear utility function. utility functions are dif cult to specify Careful structuring of the decision tree. decision trees should be speci ed completely Access to highquality data about probability, cost and reward for the decisions."
" Decision tree analysis is usually performed using specialized, but widely available software. The software  allows the user to specify the structure of the decision with decision nodes, chance nodes, costs, bene ts, and  probabilities. The user can also evaluate the different decisions using linear utility functions based on Expected  Monetary Value or on nonlinear utility functions of various shapes. An example is shown below where:   The negative numbers represent out ows or investments      The percentages represent probabilities of the event occurring      The positive numbers represent rewards or values      True indicates the decision option taken from the square decision node, whereas false    indicates the decision option not taken     Figure D14. Example of a Decision Tree for Choosing between an Experimental Technology vs.  Commercial Off the Shelf  Technology Source: Precision Tree from Palisade Corporation ","the software allows the user to specify the structure of the decision with decision nodes, chance nodes, costs, bene ts, and probabilities. the user can also evaluate the different decisions using linear utility functions based on Expected Monetary Value or nonlinear utility functions."
" Expected Monetary Value  is a simple calculation of a value such as weighted average or expected cost  or bene t when the outcomes are uncertain. All reasonable alternative outcomes are identi ed. Their probabilities  of occurring  and their values are estimated. The EMV calculation is made for the entire event  by weighting the individual possible outcomes by their probabilities of occurring, as shown in Figure D15. ",Expected Monetary Value is a simple calculation of a value such as weighted average or expected cost or bene t. all reasonable alternative outcomes are identi ed. their probabilities of occurring and their values are estimated.
" Monte Carlo simulation is a detailed, computerintensive simulation approach to determining the value and  probability of possible outcomes of a project objective such as a project schedule  or  cost estimate . It computes the schedule or cost estimate many times using inputs drawn at  95 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management random from ranges speci ed with probability distribution functions for schedule activity durations or cost line items. The solutions using these different input values are used to build a histogram of possible project outcomes  and their relative probability, and cumulative probability from which to compute desired contingency reserves of  time or cost. Additional results include the relative importance of each input in determining the overall project cost  and schedule. Examples of the output of schedule and cost risk results are shown in Figures D16 and D17. ","Monte Carlo simulation is a detailed, computerintensive simulation approach. it computes the schedule or cost estimate many times using inputs drawn at 95 D APPENDIX D 2009 Project Management Institute."
   Figure D16. Example Histogram from Monte Carlo Simulation of a Project Schedule   Source: Pertmaster v. 8.0 Primavera Pertmaster   Figure D15. Example of an Expected Monetary Value Calculation when there are Three Uncertain  Product Demand Scenarios  96 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management,Pertmaster v. 8.0 Primavera Pertmaster Figure D15. an Expected Monetary Value Calculation when there are three uncertain product demand Scenarios 96 D APPENDIX D 2009 Project Management Institute.
   Figure D17. Example Histogram from Monte Carlo Simulation of a Project Cost Estimate   Source: Crystal Ball v. 7.3.8 from Oracle Hyperion  ,Monte Carlo Simulation of a Project Cost Estimate Source: Crystal Ball v. 7.3.8 from Oracle Hyperion v. 7.3.8 from Oracle Hyperion.
"   Plan Risk Responses develops the set of actions required to take into account the projects risks and  their characteristics, and integrates them into the corresponding project management plan. The resultant plan  should satisfy the risk appetites and attitudes of the key stakeholders. ",plan Risk Responses develops the set of actions required to take into account the projects risks and their characteristics. the resultant plan should satisfy the risk appetites and attitudes of key stakeholders.
" Techniques for Plan Risk Responses are given in Table D5 and Sections D.5.1.1 through D.5.1.5.   Technique   Strengths   Weaknesses   CSFS for Effective  Application  Brainstorming  see Chapter 5 Check Lists  see Chapter 5 Contingency planning Ensures that actions    are available to address  signi cant events  before their occurrence Can give a false feeling    of con dence  as  if the risk had been  avoided The trigger conditions    must be clearly  de ned and tracked 97 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application  Allows rapid and    focussed response Improves image of    professionalism of  the way in which the  project is managed The plans need to be    validated periodically Willingness of the    organization to  execute the plan and  provide the budget  and resources when  the trigger condition  occurs Contingency reserve  estimation Provides a rationale    for reserves Basis for constructive    discussion with  sponsor Makes the reserve    visible and therefore  liable to be reduced  arbitrarily Policy for reserve    management agreed  with sponsor and  senior management Critical Chain Project  Management  Along with many other    approaches, insists  on resolving resource  availability issues  when developing the  schedule Addresses schedule    risk by the addition  of feeding buffers  to absorb statistical  variations on the  durations of noncritical  path activities to reduce  their contribution to  schedule risk Partly mitigates     nancial risk by  controlling the amount  of work in process Buffer penetration    thresholds can be used  as trigger condition  for speci c response  actions  Special software is    available for creating  and managing the  buffers Feeding buffers can    deal with predictable  common cause  variation, but may be  inadequate to cater  for special causes Indicative start    and end dates can  disturb conventional  management  expectations,  and may cause  problems for  setting intermediate  milestones Assumption that base    estimates represent  50 con dence  levels  Not all project    schedules are fully  resourced Requires a fully    resourced project  schedule Understanding of,    and acceptance  by management  and project team  members that the  activity dates are  indicative rather than  de nitive promises,  being generally set  to provide a 50  con dence level Equitable sharing    of the buffers by  all team members  concerned  98 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application  Decision Tree Analysis  see Chapter 7 Allows calculation    of the expected  monetary values of  various response  options as well as the  value of the outcomes  in the worst case and  the best case Delphi Technique  see Chapter 5 Involves selected    experts in the process Expected Monetary  Value   see Chapter 7 Provides an estimate    of the potential  bene t of a risk  response Force Field Analysis  see Chapter 5 The diagram can    suggest where best to  apply the responses Industry knowledge base  see Chapter 5 Some risks have    standard responses Interviews  see Chapter 5 Experienced    practitioners can  provide both new  ideas and act as  devils advocate for  potential responses Nominal Group  Technique  see Chapter 5 Useful as a creativity    technique for  generating novel  responses Multicriterion selection  techniques Provide a means    of selecting the  responses that best  supports the full set  of project objectives Can give counter   intuitive results Needs an agreed set    of weighted project  success criteria Postproject reviews Lessons Learned Historical Information  see Chapter 5 Leverages previous    experience 99 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application  Prompt Lists  see Chapter 5 Stimulates creativity   Quantitative Risk  Analysis  see Chapter 7 Provides a means    of evaluating the  potential effect  of the response  plans on the overall  project risk Can be too involved    or complex for the  bene t envisaged Prior effective    qualitative analysis RootCause Analysis  see Chapter 5 Allows the    organization  to identify and  to address the  fundamental  causes of risks  for ef cient and  effective responses;  responding at  the level of the  root cause may  effectively address  multiple risks Can provide a    means of identifying  symptoms for use  as trigger conditions  for contingent  responses Scenario Analysis Provides view of the    potential effect of  the relevant risk and  the corresponding  response strategy Forces the    participants to  analyze the effect of  any strategy Helps to identify    secondary risks Adds to the list of    assumptions Can be time    consuming All participants need    a good understanding  of the project plans   100 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management",Technique Strengths Weaknesses CSFs for Effective Application Brainstorming see Chapter 5 Check Lists see Chapter 5 Contingency planning Ensures that actions are available to address signi cant events before their occurrence Can give a false feeling of con dence.
" For speci c  risks, the risk owner may choose to assemble a team to develop a  response, as if the risk had genuinely happened. The corresponding plan, with the supporting information,  should then be documented and approved at project management or sponsor level. This approval must include  authorization to deploy the corresponding resources if the prede ned trigger conditions arise. No templates or  examples are presented. ",the risk owner may choose to assemble a team to develop a response. the corresponding plan should be documented and approved at project management or sponsor level.
" All of the conditional response plans, as well any of the residual risks will, if they occur, have an effect on the  schedule andor budget andor performance objectives of the project. An amount  needs to be  set aside to allow for these eventualities. This amount is made up of two components: those to cover speci c,  approved conditional responses , and those to address unspeci ed or passively accepted  risks. Quantitative methods  can be used to determine the amounts that should be set aside . These reserves are tracked  and managed in Monitor and Control Risks . No templates or examples are presented. ","all of the conditional response plans, as well any of the residual risks will, if they occur, have an effect on the schedule and budget and or performance objectives of the project. an amount needs to be set aside to allow for these eventualities."
" This is an adaptation of the Perform Qualitative Risk Analysis Process  based on selection criteria.  The example below shows the use of a spreadsheet to calculate the weighted scores of two options, based on  a prede ned set of prioritized criteria: points is the product of weight by rating.     Figure D18. Example of Comparing Options by their Ratings Along Four Prioritized Criteria ",this is an adaptation of the Perform Qualitative Risk Analysis Process based on selection criteria. the example below shows the use of a spreadsheet to calculate the weighted scores of two options. points is the product of weight by rating.
" Scenario analysis for risk response planning involves de ning several plausible alternative scenarios . The different scenarios may require different risk  responses that can be described and evaluated for their cost and effectiveness. If the organization can choose  between scenarios, the alternatives including the responses can be compared. If the scenarios are out of the  control of the organization, the scenario analysis can lead to effective and necessary contingency planning.  101 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  No template is offered for this technique. ","scenario analysis involves de ning several plausible alternative scenarios. if the scenarios are out of the control of the organization, the scenario analysis can lead to effective and necessary contingency planning."
 A simple critical chain network is shown in Figure D19.     Figure D19. Simple Critical Chain Network ,a simple critical chain network is shown in Figure D19. simple critical chain network is shown in Figure D19. a simple critical chain network is shown in the figure.
"   Monitor and Control Risks provides the assurance that risk responses are being applied, veri es whether  they are effective and as necessary initiates corrective actions. ","Monitor and Control Risks provides the assurance that risk responses are being applied, veri es whether they are effective and as necessary initiates corrective actions."
 Techniques for Monitor and Control Risks are given in Table D6 and D.6.1.1 through D.6.1.6.   TABLE D6. Monitor and Control Risks Example   Technique   Strengths   Weaknesses   CSFs for Effective  Application  Critical Chain Project  Management   see Chapter 8 Use of buffer    penetration to trigger  actions such as  adjusting the relative  priority of tasks  102 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application  Reserve Analysis Provides a means of    tracking spend and  releasing contingency  amounts as risks  expire; can be applied  to schedule reserves  in the same way Gives early warning of    need to communicate  with sponsor Could lead to    unwarranted focus on  cost dimension Attention to overall    measure of reserve  depletion may hide  detailed risks Prior detailed reserve    planning Accurate sizing of    the contingency  reserve of time or  cost relative to the  risk to overall project  completion date and  budget Risk Audits Provide a formal    assessment of the  compliance with the  approach speci ed in  the risk management  plan Can be disruptive to    the project and taken  as too judgemental to  the project team Wellspeci ed risk    management plan Sensitivity to the    burden it places on  the project team Risk Reassessment Forces a review of    the project risks  when it becomes  necessary so that the  risk register remains  uptodate Takes time and effort   Wellmaintained    project and risk  documentation  scheme Status Meetings Provide a means of    verifying information  about the status  of risks  and  maintaining team  understanding Can seem    unnecessary to some  participants Good meeting    preparation and  discipline Trend Analysis Provides an indication    of the effectiveness of  earlier responses Can provide trigger    conditions for  responses Requires    understanding of  signi cant vs. non signi cant variation Regular reporting and    analysis of the critical  values 103 D APPENDIX D 2009 Project Management Institute. Practice Standard for Project Risk Management  Technique   Strengths   Weaknesses   CSFs for Effective  Application  Variance Analysis Allows comparison    between forecast and  actual risk impacts Can provide trigger    conditions for  responses Provides data    for Earned Value  Analysis which can  be compared to  quantitative risk  analysis results Does not show    relationship with  earlier data The values can be    taken out of context Realistic prior    de nitions of  thresholds for  signi cant variance,practice standard for Project Risk Management Technique Strengths Weaknesses CSFs for Effective Application Reserve Analysis Provides a means of tracking spend and releasing contingency amounts as risks expire. can be applied to schedule reserves in same way Gives early warning of need to communicate with sponsor Could lead to unwarranted focus on cost dimension Attention to overall measure of reserve depletion may hide detailed risks Prior detailed reserve planning Accurate sizing of the contingency reserve of time or cost relative to the risk to overall project
